name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_first_gw,team_strength,team_strength_overall_home,team_strength_overall_away,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away,season
James McArthur 138,Crystal Palace,92,MID,0,4,11,6,0,38,0,0,0,0,2,55,3.0,1130.0,1120.0,1080.0,1180.0,1040.0,1040.0,2019-20
Harry Wilson 505,Bournemouth,91,MID,7,1,2,2,0,32,0,0,0,0,7,60,2.0,1020.0,1020.0,990.0,1030.0,1000.0,1050.0,2019-20
Tyrone Mings 445,Aston Villa,90,DEF,2,2,6,7,0,53,0,0,0,0,9,45,2.0,1020.0,1050.0,970.0,980.0,1000.0,1040.0,2019-20
Douglas Luiz Soares de Paulo 470,Aston Villa,90,MID,3,2,8,8,0,51,0,0,0,0,5,45,2.0,1020.0,1050.0,970.0,980.0,1000.0,1040.0,2019-20
Kepa Arrizabalaga 111,Chelsea,90,GK,0,0,8,0,0,47,0,0,0,55,0,55,4.0,1220.0,1230.0,1240.0,1240.0,1220.0,1250.0,2019-20
Michael Keane 143,Everton,90,DEF,2,0,7,3,0,42,1,0,0,0,9,55,3.0,1100.0,1240.0,1100.0,1210.0,1170.0,1180.0,2019-20
Adam Webster 493,Brighton,88,DEF,3,1,5,4,0,44,1,0,0,0,7,45,2.0,1050.0,1010.0,1100.0,1100.0,1040.0,1030.0,2019-20
Gerard Deulofeu 363,Watford,88,FWD,4,5,8,3,0,33,0,0,0,0,9,65,3.0,1030.0,1140.0,1120.0,1120.0,1020.0,1150.0,2019-20
Robert Snodgrass 393,West Ham,87,MID,5,5,3,4,0,33,0,0,0,0,8,55,2.0,1040.0,1030.0,1000.0,1030.0,1030.0,1150.0,2019-20
Dan Burn 475,Brighton,86,DEF,0,0,9,5,0,42,0,0,0,0,3,45,2.0,1050.0,1010.0,1100.0,1100.0,1040.0,1030.0,2019-20
Oliver McBurnie 501,Sheffield Utd,86,FWD,6,1,9,4,0,25,0,0,0,0,6,60,3.0,1180.0,1200.0,1170.0,1180.0,1050.0,1110.0,2019-20
Jack Stephens 308,Southampton,85,DEF,1,3,7,4,1,39,0,0,0,0,8,45,3.0,1150.0,1040.0,1080.0,1050.0,1110.0,1080.0,2019-20
Cheikhou Kouyaté 139,Crystal Palace,85,MID,1,2,10,4,0,36,0,0,0,0,4,50,3.0,1130.0,1120.0,1080.0,1180.0,1040.0,1040.0,2019-20
Wilfred Ndidi 176,Leicester,85,MID,2,1,12,6,0,32,0,0,0,0,5,50,3.0,1210.0,1160.0,1150.0,1080.0,1210.0,1100.0,2019-20
Charlie Taylor 87,Burnley,84,DEF,0,1,10,3,0,18,0,0,0,0,5,45,3.0,1110.0,1180.0,1130.0,1070.0,970.0,1110.0,2019-20
Diego Rico 65,Bournemouth,84,DEF,0,5,6,6,0,38,0,0,0,0,10,40,2.0,1020.0,1020.0,990.0,1030.0,1000.0,1050.0,2019-20
John McGinn 31,Aston Villa,84,MID,3,3,6,3,0,41,0,0,0,0,4,55,2.0,1020.0,1050.0,970.0,980.0,1000.0,1040.0,2019-20
Jan Bednarek 307,Southampton,84,DEF,1,1,7,4,0,57,1,0,0,0,5,45,3.0,1150.0,1040.0,1080.0,1050.0,1110.0,1080.0,2019-20
Lys Mousset 70,Sheffield Utd,84,FWD,6,4,3,1,0,15,0,0,0,0,11,50,3.0,1180.0,1200.0,1170.0,1180.0,1050.0,1110.0,2019-20
Conor Hourihane 28,Aston Villa,83,MID,3,5,6,4,0,29,0,0,0,0,9,60,2.0,1020.0,1050.0,970.0,980.0,1000.0,1040.0,2019-20
Lukasz Fabianski 388,West Ham,83,GK,0,0,5,1,0,34,0,0,1,72,5,50,2.0,1040.0,1030.0,1000.0,1030.0,1030.0,1150.0,2019-20
Nicolás Otamendi 208,Man City,82,DEF,2,1,7,3,0,21,0,0,0,0,6,55,5.0,1330.0,1340.0,1260.0,1270.0,1320.0,1320.0,2019-20
