name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_first_gw,team_strength,team_strength_overall_home,team_strength_overall_away,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away,season
Jordan Pickford,Everton,116,GK,0,0,7,2,0,58,0,0,0,117,12,50,2,1050,1090,1130,1090,1110,1110,2021-22
Aaron Cresswell,West Ham,115,DEF,2,4,7,3,0,38,0,0,0,0,17,55,3,1130,1190,1110,1150,1160,1180,2021-22
Tomas Soucek,West Ham,114,MID,5,1,6,3,0,46,0,0,0,0,14,60,3,1130,1190,1110,1150,1160,1180,2021-22
Kai Havertz,Chelsea,112,MID,8,4,10,3,0,18,0,0,0,0,5,85,4,1290,1320,1300,1300,1250,1290,2021-22
John McGinn,Aston Villa,110,MID,3,4,10,8,0,48,0,0,0,0,12,60,3,1100,1100,1140,1110,1090,1090,2021-22
Jordan Henderson,Liverpool,110,MID,2,5,15,3,0,22,0,0,0,0,9,50,5,1340,1360,1300,1350,1340,1350,2021-22
Gabriel Teodoro Martinelli Silva,Arsenal,110,MID,6,7,7,1,1,25,0,0,0,0,6,55,4,1250,1270,1150,1210,1190,1220,2021-22
Tyrick Mitchell,Crystal Palace,109,DEF,0,2,10,1,0,43,0,0,0,0,6,45,3,1090,1100,1110,1160,1080,1160,2021-22
Romain Saïss,Wolves,109,DEF,2,0,11,6,0,30,0,0,0,0,6,50,3,1200,1170,1150,1160,1080,1100,2021-22
Pierre-Emile Højbjerg,Spurs,109,MID,2,3,16,3,0,34,0,0,0,0,6,50,4,1210,1270,1190,1200,1210,1210,2021-22
Jacob Ramsey,Aston Villa,109,MID,6,1,12,6,0,35,0,0,0,0,9,45,3,1100,1100,1140,1110,1090,1090,2021-22
Rico Henry,Brentford,108,DEF,3,0,9,2,0,41,0,0,0,0,4,45,2,1060,1070,1120,1150,1080,1120,2021-22
Ben White,Arsenal,107,DEF,0,0,13,3,0,35,1,0,0,0,9,45,4,1250,1270,1150,1210,1190,1220,2021-22
Emiliano Buendía Stati,Aston Villa,107,MID,4,6,7,1,0,32,0,0,0,0,8,65,3,1100,1100,1140,1110,1090,1090,2021-22
