Player,Position,Championship Season,Championship Goals,FPL Season,FPL Points,FPL Goals,FPL Assists,FPL Value,Player (FPL Season),Player (FPL Season) - Short,Championship Team,FPL Team
Neeskens Kebano,MID,2019-20,3,2020-21,6.0,0.0,0.0,50.0,Neeskens Kebano (2020-21),Kebano: 20/21,Fulham,Fulham
Anthony Knockaert,MID,2019-20,3,2020-21,0.0,0.0,0.0,55.0,Anthony Knockaert (2020-21),Knockaert: 20/21,Fulham,Fulham
Jordan Zemura,DEF,2021-22,3,2022-23,47.0,0.0,1.0,45.0,Jordan Zemura (2022-23),Zemura: 22/23,Bournemouth,Bournemouth
Jack Colback,MID,2021-22,3,2022-23,14.0,0.0,0.0,45.0,Jack Colback (2022-23),Colback: 22/23,Nott'm Forest,Nott'm Forest
Ryan Christie,MID,2021-22,3,2022-23,64.0,1.0,2.0,55.0,Ryan Christie (2022-23),Christie: 22/23,Bournemouth,Bournemouth
Tom Cairney,MID,2021-22,3,2022-23,53.0,2.0,1.0,50.0,Tom Cairney (2022-23),Cairney: 22/23,Fulham,Fulham
Adama Diomandé,FWD,2015-16,3,2016-17,42.0,2.0,0.0,45.0,Adama Diomandé (2016-17),Diomandé: 16/17,Hull,Hull
Stewart Downing,MID,2015-16,3,2016-17,77.0,1.0,3.0,55.0,Stewart Downing (2016-17),Downing: 16/17,Middlesbrough,Middlesbrough
Ahmed Elmohamady,MID,2015-16,3,2016-17,62.0,0.0,2.0,50.0,Ahmed Elmohamady (2016-17),Elmohamady: 16/17,Hull,Hull
Kenneth Zohoré,FWD,2019-20,3,2020-21,0.0,0.0,0.0,50.0,Kenneth Zohoré (2020-21),Zohoré: 20/21,West Brom,West Brom
Callum Robinson,FWD,2019-20,3,2020-21,79.0,5.0,3.0,55.0,Callum Robinson (2020-21),Robinson: 20/21,West Brom,West Brom
Josh Onomah,MID,2019-20,3,2020-21,13.0,0.0,0.0,50.0,Josh Onomah (2020-21),Onomah: 20/21,Fulham,Fulham
Dara O'Shea,DEF,2019-20,3,2020-21,41.0,0.0,0.0,45.0,Dara O'Shea (2020-21),O'Shea: 20/21,West Brom,West Brom
Jake Livermore,MID,2019-20,3,2020-21,25.0,0.0,0.0,50.0,Jake Livermore (2020-21),Livermore: 20/21,West Brom,West Brom
Jack Robinson,DEF,2022-23,3,2023-24,33.0,1.0,1.0,45.0,Jack Robinson (2023-24),Robinson: 23/24,Sheffield Utd,Sheffield Utd
Kevin McDonald,MID,2017-18,3,2018-19,17.0,0.0,0.0,45.0,Kevin McDonald (2018-19),McDonald: 18/19,Fulham,Fulham
Nathaniel Chalobah,MID,2020-21,3,2021-22,0.0,0.0,0.0,50.0,Nathaniel Chalobah (2021-22),Chalobah: 21/22,Watford,Watford
Ciaran Clark,DEF,2016-17,3,2017-18,64.0,2.0,1.0,45.0,Ciaran Clark (2017-18),Clark: 17/18,Newcastle,Newcastle
Momo Diamé,MID,2016-17,3,2017-18,70.0,2.0,0.0,50.0,Momo Diamé (2017-18),Diamé: 17/18,Newcastle,Newcastle
Michael Hefele,DEF,2016-17,3,2017-18,1.0,0.0,0.0,45.0,Michael Hefele (2017-18),Hefele: 17/18,Huddersfield,Huddersfield
Kenny McLean,MID,2018-19,3,2019-20,77.0,1.0,1.0,50.0,Kenny McLean (2019-20),McLean: 19/20,Norwich,Norwich
Oliver Norwood,MID,2018-19,3,2019-20,98.0,1.0,3.0,50.0,Oliver Norwood (2019-20),Norwood: 19/20,Sheffield Utd,Sheffield Utd
