Player,Team,Position,Championship Season,Championship Assists,FPL Season,FPL Points,FPL Goals,FPL Assists,Player (FPL Season),Player (FPL Season) - Short
Willy Boly,Wolves,DEF,2017-18,2,2018-19,120.0,4.0,0.0,Willy Boly (2018-19),Boly: 18/19
Chris Basham,Sheffield Utd,DEF,2022-23,2,2023-24,8.0,0.0,0.0,Chris Basham (2023-24),Basham: 23/24
Jordan Beyer,Burnley,DEF,2022-23,2,2023-24,30.0,0.0,1.0,Jordan Beyer (2023-24),Beyer: 23/24
Allan Campbell,Luton,MID,2022-23,2,2023-24,0.0,0.0,0.0,Allan Campbell (2023-24),Campbell: 23/24
Jack Cork,Burnley,MID,2022-23,2,2023-24,4.0,0.0,0.0,Jack Cork (2023-24),Cork: 23/24
Lloyd Kelly,Bournemouth,DEF,2021-22,1,2022-23,60.0,0.0,2.0,Lloyd Kelly (2022-23),Kelly: 22/23
Jack Colback,Nott'm Forest,MID,2021-22,1,2022-23,14.0,0.0,0.0,Jack Colback (2022-23),Colback: 22/23
Nathaniel Chalobah,Fulham,MID,2021-22,1,2022-23,1.0,0.0,0.0,Nathaniel Chalobah (2022-23),Chalobah: 22/23
Joe Bryan,Fulham,DEF,2021-22,1,2022-23,0.0,0.0,0.0,Joe Bryan (2022-23),Bryan: 22/23
Harry Maguire,Hull,DEF,2015-16,1,2016-17,71.0,2.0,3.0,Harry Maguire (2016-17),Maguire: 16/17
Joe Lolley,Nott'm Forest,MID,2021-22,1,2022-23,0.0,0.0,0.0,Joe Lolley (2022-23),Lolley: 22/23
Amari'i Bell,Luton,DEF,2022-23,1,2023-24,35.0,0.0,0.0,Amari'i Bell (2023-24),Bell: 23/24
